Species,Transmitter,Month,n_COAs,level,method,area_km2
Bass,A69-1601-22173,2015-05-01T00:00:00Z,47,0.95,KDE95,0.12659332302200238
Bass,A69-1601-22174,2015-03-01T00:00:00Z,78,0.5,KDE50,0.04485978264761926
Bass,A69-1601-22174,2015-03-01T00:00:00Z,78,0.95,KDE95,0.10061586862360601
Bass,A69-1601-22174,2015-04-01T00:00:00Z,62,0.5,KDE50,0.06111154681933744
Bass,A69-1601-22174,2015-04-01T00:00:00Z,62,0.95,KDE95,0.12609237954108568
Bass,A69-1601-22175,2015-03-01T00:00:00Z,73,0.5,KDE50,0.05349687147507642
Bass,A69-1601-22175,2015-03-01T00:00:00Z,73,0.95,KDE95,0.1774577616527904
Bass,A69-1601-22175,2015-04-01T00:00:00Z,140,0.5,KDE50,0.04718927709123795
Bass,A69-1601-22175,2015-04-01T00:00:00Z,140,0.95,KDE95,0.15686481181466233
Bass,A69-1601-22175,2015-06-01T00:00:00Z,32,0.5,KDE50,0.03933283356654015
Bass,A69-1601-22175,2015-06-01T00:00:00Z,32,0.95,KDE95,0.1307687778009167
Bass,A69-1601-22176,2015-03-01T00:00:00Z,215,0.5,KDE50,0.029432856693916955
Bass,A69-1601-22176,2015-03-01T00:00:00Z,215,0.95,KDE95,0.123976933468111
Bass,A69-1601-22176,2015-04-01T00:00:00Z,262,0.5,KDE50,0.026114204847833375
Bass,A69-1601-22176,2015-04-01T00:00:00Z,262,0.95,KDE95,0.09007473605202249
Bass,A69-1601-22176,2015-06-01T00:00:00Z,41,0.5,KDE50,0.02470380882759206
Bass,A69-1601-22176,2015-06-01T00:00:00Z,41,0.95,KDE95,0.049121111749680715
Bass,A69-1601-22178,2015-05-01T00:00:00Z,129,0.5,KDE50,0.020671061431034206
Bass,A69-1601-22178,2015-05-01T00:00:00Z,129,0.95,KDE95,0.11915947964104544
Bass,A69-1601-22179,2015-03-01T00:00:00Z,59,0.5,KDE50,0.04030840445545925
Bass,A69-1601-22179,2015-03-01T00:00:00Z,59,0.95,KDE95,0.11703995038438215
Bass,A69-1601-22179,2015-05-01T00:00:00Z,32,0.5,KDE50,0.03831892213097971
Bass,A69-1601-22179,2015-05-01T00:00:00Z,32,0.95,KDE95,0.07907292122498756
Bass,A69-1601-22181,2015-03-01T00:00:00Z,92,0.5,KDE50,0.05898909381930268
Bass,A69-1601-22181,2015-03-01T00:00:00Z,92,0.95,KDE95,0.169032380865867
Bass,A69-1601-51637,2017-04-01T00:00:00Z,238,0.5,KDE50,0.02124963063467975
Bass,A69-1601-51637,2017-04-01T00:00:00Z,238,0.95,KDE95,0.12321283527997429
Bass,A69-1601-51637,2017-05-01T00:00:00Z,273,0.5,KDE50,0.01859925535135338
Bass,A69-1601-51637,2017-05-01T00:00:00Z,273,0.95,KDE95,0.05032186525197222
Bass,A69-1601-51639,2016-12-01T00:00:00Z,57,0.5,KDE50,0.01965060421075509
Bass,A69-1601-51639,2016-12-01T00:00:00Z,57,0.95,KDE95,0.04666483914491488
Bass,A69-1601-51639,2017-01-01T00:00:00Z,82,0.5,KDE50,0.02312630449637666
Bass,A69-1601-51639,2017-01-01T00:00:00Z,82,0.95,KDE95,0.06990252772146789
Bass,A69-1601-51639,2017-02-01T00:00:00Z,135,0.5,KDE50,0.014902300715364108
Bass,A69-1601-51639,2017-02-01T00:00:00Z,135,0.95,KDE95,0.05485954443629802
Bass,A69-1601-51639,2017-03-01T00:00:00Z,32,0.5,KDE50,0.020757110597437654
Bass,A69-1601-51639,2017-03-01T00:00:00Z,32,0.95,KDE95,0.08140772830693796
